,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006
707,210051800438,2021,3,F,1,4,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,596.8,568.3,561.9,722.0,0,1.0,640.0,D,D,C,C,5.0,Q
708,210052243141,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,460.2,519.4,535.8,551.8,1,1.0,580.0,B,C,B,B,4.0,C
709,210053061782,2021,3,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,396.1,496.7,421.6,506.0,1,1.0,440.0,D,D,D,B,4.0,D
710,210052250112,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,567.2,527.5,467.1,464.0,1,1.0,600.0,E,E,C,B,4.0,D
711,210051424598,2021,2,M,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,414.1,395.0,443.8,399.0,0,1.0,600.0,E,F,C,B,5.0,G
712,210053519727,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,1,1,1,1,655.0,645.6,556.3,672.0,0,1.0,680.0,G,G,D,D,5.0,H
713,210051067666,2021,2,M,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,519.0,582.7,545.6,537.8,1,1.0,560.0,C,D,C,C,4.0,D
714,210052096434,2021,2,M,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,674.9,670.9,621.1,734.5,0,1.0,800.0,G,G,D,D,4.0,C
715,210053487555,2021,3,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,482.2,397.0,521.1,500.0,0,1.0,500.0,F,F,F,D,3.0,F
716,210054368879,2021,2,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,508.0,602.1,572.2,590.7,0,1.0,540.0,D,E,B,C,2.0,C
